object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
articulated,global,1000,2,1.0,0.013855306431651115,0.008698458783328533
articulated,global,1000,2,2.0,0.018075942993164062,0.008975153788924217
articulated,part,1000,2,0.001,0.0070807659067213535,0.004971069283783436
articulated,part,1000,2,0.01,0.00702613964676857,0.005044514779001474
articulated,part,1000,2,0.1,0.007602370344102383,0.004761931952089071
articulated,part,1000,2,0.3,0.007488559000194073,0.005277229472994804
articulated,part,1000,2,1.0,0.007226558402180672,0.004351496230810881
articulated,part,1000,2,2.0,0.007682821247726679,0.004549024160951376
articulated,none,5000,0,0.0,0.00796284805983305,0.003908306360244751
articulated,global,5000,0,0.001,0.010117122903466225,0.003471498377621174
articulated,global,5000,0,0.01,0.010977542027831078,0.0040391795337200165
articulated,global,5000,0,0.1,0.01104708667844534,0.0061766295693814754
articulated,global,5000,0,0.3,0.010794784873723984,0.005276334006339312
articulated,global,5000,0,1.0,0.014254586771130562,0.00701111601665616
articulated,global,5000,0,2.0,0.018515994772315025,0.008391285315155983
articulated,part,5000,0,0.001,0.011347522959113121,0.0036934532690793276
articulated,part,5000,0,0.01,0.010348569601774216,0.004124743398278952
articulated,part,5000,0,0.1,0.01026909239590168,0.0052254581823945045
articulated,part,5000,0,0.3,0.008465195074677467,0.0031957824248820543
articulated,part,5000,0,1.0,0.009213562123477459,0.0059785665944218636
articulated,part,5000,0,2.0,0.013523489236831665,0.005659965332597494
articulated,none,5000,1,0.0,0.009242535568773746,0.0031833485700190067
articulated,global,5000,1,0.001,0.011699074879288673,0.004846638534218073
articulated,global,5000,1,0.01,0.011312815360724926,0.004560193512588739
articulated,global,5000,1,0.1,0.017913538962602615,0.0052536348812282085
articulated,global,5000,1,0.3,0.011136429384350777,0.0050310674123466015
articulated,global,5000,1,1.0,0.0143470149487257,0.007024519611150026
articulated,global,5000,1,2.0,0.02047562785446644,0.01011594943702221
articulated,part,5000,1,0.001,0.009508169256150723,0.00382629013620317
articulated,part,5000,1,0.01,0.009669340215623379,0.004385520704090595
articulated,part,5000,1,0.1,0.011292601935565472,0.0042743198573589325
articulated,part,5000,1,0.3,0.01009005680680275,0.004297145176678896
articulated,part,5000,1,1.0,0.009823002852499485,0.005393246188759804
articulated,part,5000,1,2.0,0.009279316291213036,0.004266418982297182
articulated,none,5000,2,0.0,0.009263668209314346,0.003631722880527377
articulated,global,5000,2,0.001,0.011962413787841797,0.0035212337970733643
articulated,global,5000,2,0.01,0.010167934000492096,0.0038415391463786364
articulated,global,5000,2,0.1,0.00854549091309309,0.004051057621836662
articulated,global,5000,2,0.3,0.013153928332030773,0.005576455965638161
articulated,global,5000,2,1.0,0.013826251961290836,0.007122678216546774
articulated,global,5000,2,2.0,0.018036507070064545,0.007655016612261534
articulated,part,5000,2,0.001,0.00926861073821783,0.0044016060419380665
articulated,part,5000,2,0.01,0.007939314469695091,0.004291618708521128
articulated,part,5000,2,0.1,0.010808512568473816,0.004172744695097208
articulated,part,5000,2,0.3,0.009190112352371216,0.004277622327208519
articulated,part,5000,2,1.0,0.00945874210447073,0.004513402935117483
articulated,part,5000,2,2.0,0.008814126253128052,0.0053238761611282825
